Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
104,EL-REL-000104,PowerRelay_SPDT_6A_Vertical_Fujitsu_FTRLYCA,"Fujitsu FTR-LY Series - SPDT Form C power relay, vertical mount, 6A switching capacity, 5-60V coil range, compact 28x5x15mm package",FTR-LYCA005x,SPDT 6A Vertical,Relay:Fujitsu_FTR-LYCA005x,Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical,Relay*Fujitsu*FTR?LYC*,12V DC,720,0.2W,SPDT (1 Form C),6A,250VAC,100mΩ,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,Vertical,28.0 x 5.0 x 15.0mm,15.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf,1,1,Fujitsu,FTR-LYCA012X,FTR-LY,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,6A SPDT Relay vertical,,2024-01-15,,2024-01-15,1,,
105,EL-REL-000105,PowerRelay_SPDT_12A_LowProfile_Omron_G2RL1,"Omron G2RL Series - General purpose low profile SPDT power relay, 12A switching capacity, through hole, Class F insulation",G2RL-1,SPDT 12A G2RL,Relay:G2RL-1,Relay_THT:Relay_SPDT_Omron_G2RL-1,Relay?SPDT?Omron?G2RL*,12V DC,720,0.4W,SPDT (1 Form C),12A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1 DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Omron power,,2024-01-15,,2024-01-15,1,,
106,EL-REL-000106,PowerRelay_SPDT_16A_HighCapacity_Omron_G2RL1E,"Omron G2RL Series - High capacity SPDT power relay, 16A switching capacity, through hole, ideal for high-current applications",G2RL-1-E,SPDT 16A HighCap,Relay:G2RL-1-E,Relay_THT:Relay_SPDT_Omron_G2RL-1-E,Relay?SPDT?Omron?G2RL*E*,12V DC,720,0.4W,SPDT (1 Form C),16A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1-E DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Omron High Capacity,,2024-01-15,,2024-01-15,1,,
107,EL-REL-000107,PowerRelay_SPDT_10A_HighSensitivity_Omron_G2RL1H,"Omron G2RL Series - High sensitivity SPDT power relay, 10A switching capacity, 250mW coil power, ideal for low-power applications",G2RL-1-H,SPDT 10A HighSens,Relay:G2RL-1-H,Relay_THT:Relay_SPDT_Omron_G2RL-1,Relay?SPDT?Omron?G2RL*,12V DC,1150,0.25W,SPDT (1 Form C),10A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1-H DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Omron High Sensitivity,,2024-01-15,,2024-01-15,1,,
108,EL-REL-000108,PowerRelay_SPST_12A_LowProfile_Omron_G2RL1A,"Omron G2RL Series - General purpose low profile SPST-NO power relay, 12A switching capacity, through hole, Class F insulation",G2RL-1A,SPST 12A G2RL,Relay:G2RL-1A,Relay_THT:Relay_SPST_Omron_G2RL-1A,Relay?SPST?Omron?G2RL*,12V DC,720,0.4W,SPST-NO (1 Form A),12A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1A DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPST Omron NO,,2024-01-15,,2024-01-15,1,,
109,EL-REL-000109,PowerRelay_SPST_16A_HighCapacity_Omron_G2RL1AE,"Omron G2RL Series - High capacity SPST-NO power relay, 16A switching capacity, through hole, ideal for high-current applications",G2RL-1A-E,SPST 16A HighCap,Relay:G2RL-1A-E,Relay_THT:Relay_SPST_Omron_G2RL-1A-E,Relay?SPST?Omron?G2RL*E*,12V DC,720,0.4W,SPST-NO (1 Form A),16A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1A-E DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPST Omron NO High Capacity,,2024-01-15,,2024-01-15,1,,
110,EL-REL-000110,PowerRelay_SPST_10A_HighSensitivity_Omron_G2RL1AH,"Omron G2RL Series - High sensitivity SPST-NO power relay, 10A switching capacity, 250mW coil power, ideal for low-power applications",G2RL-1A-H,SPST 10A HighSens,Relay:G2RL-1A-H,Relay_THT:Relay_SPST_Omron_G2RL-1A,Relay?SPST?Omron?G2RL*,12V DC,1150,0.25W,SPST-NO (1 Form A),10A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-1A-H DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPST Omron NO High Sensitivity,,2024-01-15,,2024-01-15,1,,
111,EL-REL-000111,PowerRelay_DPDT_8A_LowProfile_Omron_G2RL2,"Omron G2RL Series - Low profile DPDT power relay, 8A switching capacity, through hole, dual pole version of G2RL series",G2RL-2,DPDT 8A G2RL,Relay:G2RL-2,Relay_THT:Relay_DPDT_Omron_G2RL-2,Relay?DPDT?Omron?G2RL*,12V DC,720,0.4W,DPDT (2 Form C),8A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-2 DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay Omron DPDT,,2024-01-15,,2024-01-15,1,,
112,EL-REL-000112,PowerRelay_DPST_8A_LowProfile_Omron_G2RL2A,"Omron G2RL Series - Low profile DPST-NO power relay, 8A switching capacity, through hole, dual pole normally open",G2RL-2A,DPST 8A G2RL,Relay:G2RL-2A,Relay_THT:Relay_DPST_Omron_G2RL-2A,Relay?DPST?Omron?G2RL*,12V DC,720,0.4W,DPST-NO (2 Form A),8A,250VAC,100mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,1,1,Omron Electronics,G2RL-2A DC12,G2RL,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay Omron DPST NO,,2024-01-15,,2024-01-15,1,,
113,EL-REL-000113,PowerRelay_SPDT_10A_Miniature_Omron_G5LE1,"Omron G5LE Series - Miniature single pole SPDT power relay, 10A switching capacity, compact package for general purpose applications",G5LE-1,SPDT 10A Mini,Relay:G5LE-1,Relay_THT:Relay_SPDT_Omron-G5LE-1,Relay*SPDT*Omron*G5LE?1*,12V DC,720,0.4W,SPDT (1 Form C),10A,250VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.2 x 15.5mm,15.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.omron.com/ecb/products/pdf/en-g5le.pdf,1,1,Omron Electronics,G5LE-1 DC12,G5LE,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Miniature Single Pole Relay,,2024-01-15,,2024-01-15,1,,
114,EL-REL-000114,PowerRelay_SPST_7A_Compact_Omron_G5NB,"Omron G5NB Series - PCB power relay, SPST-NO, 7A at 250VAC, 5A at 30VDC, compact design for home appliances",G5NB,SPST 7A,Relay:G5NB,Relay_THT:Relay_SPST_Omron_G5NB,Relay?SPST*Omron*G5NB*,12V DC,720,0.4W,SPST-NO (1 Form A),7A,250VAC,100mΩ,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5nb_el.pdf,1,1,Omron Electronics,G5NB-1A DC12,G5NB,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Omron G5NB Relay SPST-NO,,2024-01-15,,2024-01-15,1,,
115,EL-REL-000115,PowerRelay_SPDT_10A_Miniature_Omron_G5Q1,"Omron G5Q Series - Miniature single pole SPDT power relay, 10A switching capacity, compact package for appliance control",G5Q-1,SPDT 10A Mini,Relay:G5Q-1,Relay_THT:Relay_SPDT_Omron-G5Q-1,Relay*SPDT*Omron*G5Q*,12V DC,720,0.4W,SPDT (1 Form C),10A,250VAC,100mΩ,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.2 x 15.5mm,15.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.omron.com/ecb/products/pdf/en-g5q.pdf,1,1,Omron Electronics,G5Q-1 DC12,G5Q,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Miniature Single Pole Relay,,2024-01-15,,2024-01-15,1,,
116,EL-REL-000116,PowerRelay_SPST_10A_Miniature_Omron_G5Q1A,"Omron G5Q Series - Miniature SPST-NO power relay, 10A switching capacity, compact package for appliance control",G5Q-1A,SPST 10A Mini,Relay:G5Q-1A,Relay_THT:Relay_SPST_Omron-G5Q-1A,Relay*SPST*Omron*G5Q*,12V DC,720,0.4W,SPST-NO (1 Form A),10A,250VAC,100mΩ,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.2 x 15.5mm,15.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.omron.com/ecb/products/pdf/en-g5q.pdf,1,1,Omron Electronics,G5Q-1A DC12,G5Q,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Miniature Single Pole Relay,,2024-01-15,,2024-01-15,1,,
117,EL-REL-000117,SignalRelay_SPDT_1A_UltraMiniature_Omron_G5V1,"Omron G5V-1 - Ultra-miniature highly sensitive SPDT signal relay, 1A switching capacity, ideal for telecommunications and measurement",G5V-1,SPDT 1A UltraMini,Relay:G5V-1,Relay_THT:Relay_SPDT_Omron_G5V-1,Relay*SPDT*Omron*G5V?1*,5V DC,125,0.2W,SPDT (1 Form C),1A,125VAC,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,12.5 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf,1,1,Omron Electronics,G5V-1 DC5,G5V,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT signal,,2024-01-15,,2024-01-15,1,,
118,EL-REL-000118,SignalRelay_DPDT_1A_Miniature_Omron_G5V2,"Omron G5V-2 - Miniature DPDT signal relay, 1A switching capacity, ideal for telecommunications and measurement equipment",G5V-2,DPDT 1A Mini,Relay:G5V-2,Relay_THT:Relay_DPDT_Omron_G5V-2,Relay*DPDT*Omron*G5V*,5V DC,125,0.2W,DPDT (2 Form C),1A,125VAC,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,12.5 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_2.pdf,1,1,Omron Electronics,G5V-2 DC5,G5V,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT signal,,2024-01-15,,2024-01-15,1,,
119,EL-REL-000119,SignalRelay_DPDT_1A_Miniature_Split_Omron_G5V2,"Omron G5V-2 - Miniature DPDT signal relay with split contact representation, 1A switching capacity",G5V-2_Split,DPDT 1A Split,Relay:G5V-2_Split,Relay_THT:Relay_DPDT_Omron_G5V-2,Relay*DPDT*Omron*G5V*,5V DC,125,0.2W,DPDT (2 Form C),1A,125VAC,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,12.5 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_2.pdf,1,1,Omron Electronics,G5V-2,G5V,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT signal split,,2024-01-15,,2024-01-15,1,,
120,EL-REL-000120,SignalRelay_DPDT_2A_IndustryStandard_Omron_G6A,"Omron G6A Series - Industry-standard 2-pole DPDT signal relay, 2A switching capacity, single-side stable, for telecommunications",G6A,DPDT 2A Industry,Relay:G6A,Relay_THT:Relay_DPDT_Omron_G6A,Relay*DPDT*Omron*G6A*,12V DC,1028,0.14W,DPDT (2 Form C),2A,250VAC,50mΩ,,,5ms,3ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6a.pdf,1,1,Omron Electronics,G6A-274P-ST-US DC12,G6A,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Relay Dual Pole DPDT 2-Form-C Omron,,2024-01-15,,2024-01-15,1,,
121,EL-REL-000121,SignalRelay_DPDT_2A_DoubleLatching_Omron_G6AK,"Omron G6AK Series - Industry-standard 2-pole DPDT relay, double-winding latching, 2A switching capacity, for battery-powered applications",G6AK,DPDT 2A DualLatch,Relay:G6AK,Relay_THT:Relay_DPDT_Omron_G6AK,Relay?DPDT*Omron*G6AK*,12V DC,514,0.28W,DPDT (2 Form C),2A,250VAC,50mΩ,,,5ms,5ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6a.pdf,1,1,Omron Electronics,G6AK-274P-ST-US DC12,G6AK,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,2P2T double dual pole throw DPDT 2-Form-C bistable Omron,,2024-01-15,,2024-01-15,1,,
122,EL-REL-000122,SignalRelay_DPDT_2A_SingleLatching_Omron_G6AU,"Omron G6AU Series - Industry-standard 2-pole DPDT relay, single-winding latching, 2A switching capacity, for battery-powered applications",G6AU,DPDT 2A SingleLatch,Relay:G6AU,Relay_THT:Relay_DPDT_Omron_G6A,Relay?DPDT*Omron*G6A*,12V DC,1028,0.14W,DPDT (2 Form C),2A,250VAC,50mΩ,,,5ms,5ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6a.pdf,1,1,Omron Electronics,G6AU-274P-ST-US DC12,G6AU,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,2P2T double dual pole throw DPDT 2-Form-C bistable Omron,,2024-01-15,,2024-01-15,1,,
123,EL-REL-000123,SignalRelay_SPDT_2A_Subminiature_Omron_G6E,"Omron G6E Series - Subminiature sensitive SPDT signal relay, 2A switching capacity, single-side stable, for portable equipment",G6E,SPDT 2A Submini,Relay:G6E,Relay_THT:Relay_SPDT_Omron_G6E,Relay*SPDT*Omron*G6E*,5V DC,125,0.2W,SPDT (1 Form C),2A,125VAC,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.omron.com/ecb/products/pdf/en-g6e.pdf,1,1,Omron Electronics,G6E-134P-ST-US DC5,G6E,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT subminiature,,2024-01-15,,2024-01-15,1,,
124,EL-REL-000124,SignalRelay_SPDT_2A_SingleLatching_Omron_G6EU,"Omron G6EU Series - Subminiature SPDT relay, single-winding latching, 2A switching capacity, for battery-powered applications",G6EU,SPDT 2A SingleLatch,Relay:G6EU,Relay_THT:Relay_SPDT_Omron_G6E,Relay*SPDT*Omron*G6E*,5V DC,125,0.2W,SPDT (1 Form C),2A,125VAC,50mΩ,,,5ms,5ms,50000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.omron.com/ecb/products/pdf/en-g6e.pdf,1,1,Omron Electronics,G6EU-134P-ST-US DC5,G6E,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT latching,,2024-01-15,,2024-01-15,1,,
125,EL-REL-000125,SignalRelay_DPDT_2A_Ultracompact_Omron_G6H2,"Omron G6H-2 - Ultracompact, ultrasensitive DPDT relay, 2A switching capacity, single-side stable, for high-density mounting",G6H-2,DPDT 2A Ultracompact,Relay:G6H-2,,Relay*Omron*G6H?2*,5V DC,125,0.2W,DPDT (2 Form C),2A,125VAC,50mΩ,,,4ms,2ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,12.5 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://cdn-reichelt.de/documents/datenblatt/C300/G6H%23OMR.pdf,1,1,Omron Electronics,G6H-2 DC5,G6H,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,relay monostable ultracompact,,2024-01-15,,2024-01-15,1,,
126,EL-REL-000126,SignalRelay_DPDT_2A_SingleLatching_Omron_G6HU2,"Omron G6HU-2 - Ultracompact DPDT relay, single-winding latching, 2A switching capacity, for battery-powered applications",G6HU-2,DPDT 2A SingleLatch,Relay:G6HU-2,Relay_THT:Relay_DPDT_Omron_G6H-2,Relay*Omron*G6H?2*,5V DC,125,0.2W,DPDT (2 Form C),2A,125VAC,50mΩ,,,4ms,4ms,50000000,100000,Electromechanical Latching,Through Hole,DIP,12.5 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://cdn-reichelt.de/documents/datenblatt/C300/G6H%23OMR.pdf,1,1,Omron Electronics,G6HU-2 DC5,G6H,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,relay monostable latching,,2024-01-15,,2024-01-15,1,,
127,EL-REL-000127,SignalRelay_DPDT_1A_Miniature_Omron_G6K2,"Omron G6K-2 - Miniature 2-pole DPDT signal relay, 1A switching capacity, single-side stable, for telecommunications",G6K-2,DPDT 1A Mini,Relay:G6K-2,,Relay*DPDT*Omron*G6K?2*,5V DC,125,0.2W,DPDT (2 Form C),1A,125VAC,50mΩ,,,3ms,2ms,50000000,100000,Electromechanical Monostable,Surface Mount,SMD,10.0 x 6.5 x 5.2mm,5.2mm,Gull Wing,-40°C,70°C,-40°C to 70°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf,1,1,Omron Electronics,G6K-2F-Y DC5,G6K,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT Omron,,2024-01-15,,2024-01-15,1,,
128,EL-REL-000128,SignalRelay_DPDT_1A_SingleLatching_Omron_G6KU2,"Omron G6KU-2 - Miniature 2-pole DPDT relay, single-winding latching, 1A switching capacity, for battery-powered applications",G6KU-2,DPDT 1A SingleLatch,Relay:G6KU-2,,Relay*DPDT*Omron*G6K?2*Y*,5V DC,125,0.2W,DPDT (2 Form C),1A,125VAC,50mΩ,,,3ms,3ms,50000000,100000,Electromechanical Latching,Surface Mount,SMD,10.0 x 6.5 x 5.2mm,5.2mm,Gull Wing,-40°C,70°C,-40°C to 70°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf,1,1,Omron Electronics,G6KU-2F-Y DC5,G6K,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT latching,,2024-01-15,,2024-01-15,1,,
129,EL-REL-000129,SignalRelay_DPDT_2A_Compact_Omron_G6S2,"Omron G6S-2 - Compact industry-standard 2-pole DPDT relay, 2A switching capacity, single-side stable, for telecommunications",G6S-2,DPDT 2A Compact,Relay:G6S-2,,Relay*DPDT*Omron*G6S?2*,5V DC,125,0.2W,DPDT (2 Form C),2A,250VAC,50mΩ,,,4ms,2ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 8.2mm,8.2mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf,1,1,Omron Electronics,G6S-2 DC5,G6S,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT Omron,,2024-01-15,,2024-01-15,1,,
130,EL-REL-000130,SignalRelay_DPDT_2A_DoubleLatching_Omron_G6SK2,"Omron G6SK-2 - Compact industry-standard 2-pole DPDT relay, double-winding latching, 2A switching capacity",G6SK-2,DPDT 2A DualLatch,Relay:G6SK-2,,Relay*DPDT*Omron*G6SK?2*,5V DC,62.5,0.4W,DPDT (2 Form C),2A,250VAC,50mΩ,,,4ms,4ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 8.2mm,8.2mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf,1,1,Omron Electronics,G6SK-2 DC5,G6S,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT latching,,2024-01-15,,2024-01-15,1,,
131,EL-REL-000131,SignalRelay_DPDT_2A_SingleLatching_Omron_G6SU2,"Omron G6SU-2 - Compact industry-standard 2-pole DPDT relay, single-winding latching, 2A switching capacity",G6SU-2,DPDT 2A SingleLatch,Relay:G6SU-2,,Relay*DPDT*Omron*G6S?2*,5V DC,125,0.2W,DPDT (2 Form C),2A,250VAC,50mΩ,,,4ms,4ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 8.2mm,8.2mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf,1,1,Omron Electronics,G6SU-2 DC5,G6S,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Relay Dual Pole DPDT latching,,2024-01-15,,2024-01-15,1,,
132,EL-REL-000132,PowerRelay_DPDT_8A_Industrial_Hongfa_HF115F,"Hongfa HF115F Series - Industrial DPDT power relay, 8A switching capacity, 29x12.7mm body, 5mm pitch, EN50005 compliant",HF115F-2Z-x4,DPDT 8A Industrial,Relay:HF115F-2Z-x4,Relay_THT:Relay_DPDT_Hongfa_HF115F-2Z-x4,Relay?DPDT*,12V DC,720,0.4W,DPDT (2 Form C),8A,250VAC,100mΩ,,,15ms,8ms,20000000,100000,Electromechanical Monostable,Through Hole,DIP,29.0 x 12.7 x 15.7mm,15.7mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://source.hongfa.com//pdf/web/viewer.html?file=/Uploads/Product/PDF/HF115F_I_en.pdf,1,1,Hongfa,HF115F-2Z-12D4,HF115F,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,2-Form-C power relay,,2024-01-15,,2024-01-15,1,,
133,EL-REL-000133,RFRelay_SPDT_3GHz_75Ω_3V_AXICOM_HF3,"AXICOM HF3 Series - SPDT RF switching relay, 3GHz bandwidth, 75Ω impedance, 3V coil, ideal for RF signal routing",HF3-01,3GHz SPDT 75Ω 3V,Relay:HF3-01,Relay_SMD:Relay_SPDT_AXICOM_HF3Series_75ohms_Pitch1.27mm,Relay*SPDT*AXICOM*HF3Series*75ohms*Pitch1.27mm*,3V DC,64,0.14W,SPDT (1 Form C),1A,250VAC,50mΩ,,,3ms,2ms,10000000,100000,RF Relay,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-98000&DocType=SS&DocLang=EN,1,1,TE Connectivity,HF3-01,HF3,,,,,,,,,,,Relays,RF Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT RF,,2024-01-15,,2024-01-15,1,,
134,EL-REL-000134,RFRelay_SPDT_3GHz_75Ω_4.5V_AXICOM_HF3,"AXICOM HF3 Series - SPDT RF switching relay, 3GHz bandwidth, 75Ω impedance, 4.5V coil, ideal for RF signal routing",HF3-02,3GHz SPDT 75Ω 4.5V,Relay:HF3-02,Relay_SMD:Relay_SPDT_AXICOM_HF3Series_75ohms_Pitch1.27mm,Relay*SPDT*AXICOM*HF3Series*75ohms*Pitch1.27mm*,4.5V DC,145,0.14W,SPDT (1 Form C),1A,250VAC,50mΩ,,,3ms,2ms,10000000,100000,RF Relay,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,http://hiqsdr.com/images/3/3e/Axicom-HF3.pdf,1,1,TE Connectivity,HF3-02,HF3,,,,,,,,,,,Relays,RF Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT RF,,2024-01-15,,2024-01-15,1,,
